排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
214,AMD Ryzen 7 5800,205,8,16,3.4GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-7-5800
215,Intel Core i5 13400F,205,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400f
216,AMD Ryzen 9 6900HX,205,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hx
217,Intel Core i5 12500H,204,12,16,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12500h
218,AMD Ryzen 7 5800H,204,8,16,3.2GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-7-5800h
219,Intel Core i5 14400,204,10,16,2.5GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14400
220,AMD Ryzen 7 8840HS,204,8,16,3.3GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-7-8840hs
221,Intel Xeon W-2175,201,14,28,2.5GHz,2017.10,https://www.topcpu.net/cpu/intel-xeon-w-2175
222,Intel Core i9 10900,201,10,20,2.8GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900
223,AMD Ryzen Z1 Extreme,197,8,16,3.3GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-z1-extreme
224,Intel Xeon W-2150B,197,10,20,3GHz,2017.12,https://www.topcpu.net/cpu/intel-xeon-w-2150b
225,Intel Core i7 11700KF,196,8,16,3.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700kf
226,Intel Xeon W-11955M,196,8,16,2.1GHz,2021.05,https://www.topcpu.net/cpu/intel-xeon-w-11955m
227,AMD Ryzen 5 8500G,195,6,12,3.5GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8500g
228,Intel Core i5 12400,194,6,12,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12400
229,Intel Core i7 11700F,193,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700f
