排名,名称,跑分,规格,上市时间,详情页
169,MediaTek Helio G90,207,8C @ 2050MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/mediatek-helio-g90
170,Unisoc T9100,199,8C @ 2700MHz  - 2025.03,2025.03,https://www.topcpu.net/cpu/unisoc-t9100
171,Samsung Exynos 7420,197,8C @ 2100MHz  - 2015.04,2015.04,https://www.topcpu.net/cpu/samsung-exynos-7420
172,Qualcomm Snapdragon 636,184,8C @ 1800MHz  - 2017.10,2017.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-636
173,Qualcomm Snapdragon 630,166,8C @ 2200MHz  - 2017.05,2017.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-630
174,MediaTek Helio P90,155,8C @ 2200MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/mediatek-helio-p90
175,MediaTek Helio P95,155,8C @ 2200MHz  - 2020.02,2020.02,https://www.topcpu.net/cpu/mediatek-helio-p95
176,Qualcomm Snapdragon 460,153,8C @ 1800MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-460
177,Qualcomm Snapdragon 650,153,6C @ 1800MHz  - 2015.02,2015.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-650
178,Qualcomm Snapdragon 652,153,8C @ 1800MHz  - 2015.02,2015.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-652
179,Qualcomm Snapdragon 801,148,4C @ 2500MHz  - 2014.02,2014.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-801
180,MediaTek Helio G200,140,8C @ 2200MHz  - 2025.05,2025.05,https://www.topcpu.net/cpu/mediatek-helio-g200
181,MediaTek Dimensity 6500,140,8C @ 2600MHz  - 2026.04,2026.04,https://www.topcpu.net/cpu/mediatek-dimensity-6500
182,MediaTek Dimensity 6360,137,8C @ 2400MHz  - 2026.04,2026.04,https://www.topcpu.net/cpu/mediatek-dimensity-6360
183,HiSilicon Kirin 710,128,8C @ 2200MHz  - 2018.07,2018.07,https://www.topcpu.net/cpu/hisilicon-kirin-710
184,HiSilicon Kirin 710A,128,8C @ 2000MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/hisilicon-kirin-710a
185,HiSilicon Kirin 710F,128,8C @ 2200MHz  - 2019.01,2019.01,https://www.topcpu.net/cpu/hisilicon-kirin-710f
186,Qualcomm Snapdragon 625,124,8C @ 2000MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-625
187,Qualcomm Snapdragon 632,124,8C @ 1800MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-632
188,HiSilicon Kirin 950,115,8C @ 2400MHz  - 2015.11,2015.11,https://www.topcpu.net/cpu/hisilicon-kirin-950
189,HiSilicon Kirin 955,115,8C @ 2500MHz  - 2016.04,2016.04,https://www.topcpu.net/cpu/hisilicon-kirin-955
190,Qualcomm Snapdragon 450,115,8C @ 1800MHz  - 2017.06,2017.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-450
191,Unisoc Tiger T615,108,8C @ 1800MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/unisoc-tiger-t615
192,MediaTek Helio X20,99,10C @ 2100MHz  - 2015.05,2015.05,https://www.topcpu.net/cpu/mediatek-helio-x20
193,MediaTek Helio P70,97,8C @ 2100MHz  - 2018.10,2018.10,https://www.topcpu.net/cpu/mediatek-helio-p70
194,MediaTek Helio G85,96,8C @ 2000MHz  - 2020.04,2020.04,https://www.topcpu.net/cpu/mediatek-helio-g85
195,MediaTek Helio G88,96,8C @ 2000MHz  - 2021.06,2021.06,https://www.topcpu.net/cpu/mediatek-helio-g88
196,Unisoc Tiger T616,96,8C @ 2000MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/unisoc-tiger-t616
197,MediaTek Helio G91,96,8C @ 2000MHz  - 2024.06,2024.06,https://www.topcpu.net/cpu/mediatek-helio-g91
198,MediaTek Helio G92 Max,96,8C @ 2000MHz  - 2024.11,2024.11,https://www.topcpu.net/cpu/mediatek-helio-g92-max
199,MediaTek Helio G80,91,8C @ 2000MHz  - 2020.02,2020.02,https://www.topcpu.net/cpu/mediatek-helio-g80
200,Samsung Exynos 7880,91,8C @ 1900MHz  - 2017.01,2017.01,https://www.topcpu.net/cpu/samsung-exynos-7880
201,Samsung Exynos 9609,91,8C @ 2200MHz  - 2019.05,2019.05,https://www.topcpu.net/cpu/samsung-exynos-9609
202,Samsung Exynos 9610,91,8C @ 2300MHz  - 2018.03,2018.03,https://www.topcpu.net/cpu/samsung-exynos-9610
203,Samsung Exynos 9611,91,8C @ 2300MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/samsung-exynos-9611
204,MediaTek Helio G81,91,8C @ 2000MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/mediatek-helio-g81
205,HiSilicon Kirin 935,87,8C @ 2200MHz  - 2015.04,2015.04,https://www.topcpu.net/cpu/hisilicon-kirin-935
206,Mediatek Helio P60,86,8C @ 2000MHz  - 2018.02,2018.02,https://www.topcpu.net/cpu/mediatek-helio-p60
207,Unisoc T606,83,8C @ 1600MHz  - 2021.09,2021.09,https://www.topcpu.net/cpu/unisoc-t606
208,Unisoc Tiger T700,81,8C @ 1820MHz  - 2021.03,2021.03,https://www.topcpu.net/cpu/unisoc-tiger-t700
209,Unisoc Tiger T618,81,8C @ 2000MHz  - 2019.08,2019.08,https://www.topcpu.net/cpu/unisoc-tiger-t618
210,MediaTek Helio G70,78,8C @ 2000MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/mediatek-helio-g70
211,MediaTek Helio P65,78,8C @ 2000MHz  - 2019.06,2019.06,https://www.topcpu.net/cpu/mediatek-helio-p65
212,Unisoc Tiger T612,78,8C @ 1800MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/unisoc-tiger-t612
213,HiSilicon Kirin 930,76,8C @ 2000MHz  - 2015.04,2015.04,https://www.topcpu.net/cpu/hisilicon-kirin-930
214,Samsung Exynos 7885,70,8C @ 2200MHz  - 2018.02,2018.02,https://www.topcpu.net/cpu/samsung-exynos-7885
215,Unisoc SC9863A,70,8C @ 1600MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/unisoc-sc9863a
