排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
112,Intel Core i5 13500,12912,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
113,Intel Core i9 12900H,12692,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900h
114,Intel Core i7 13705H,12681,14,20,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13705h
115,Intel Core i5 13450HX,12674,10,16,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13450hx
116,Intel Core i7 12700,12519,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700
117,Apple M1 Max,12511,10,10,3.2GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-max
118,Intel Core i9 9920X,12494,12,24,3.5GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9920x
119,Intel Core i5 13505H,12422,12,16,2.7GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13505h
120,Apple M1 Pro,12401,10,10,2.0GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-pro
121,Intel Core i7 12700F,12395,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700f
122,AMD Ryzen 9 7940HS,12376,8,16,4.0GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-9-7940hs
123,AMD Ryzen 9 8945HS,12368,8,16,4.0GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-9-8945hs
124,Intel Xeon E7-8893 v3,12328,4,8,3.2GHz,2015.06,https://www.topcpu.net/cpu/intel-xeon-e7-8893-v3
125,AMD Ryzen 9 3900XT,12279,12,24,3.8GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-9-3900xt
126,Intel Core i5 13400,12198,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400
127,Intel Xeon E5-4660 v3,12173,14,28,2.1GHz,2015.06,https://www.topcpu.net/cpu/intel-xeon-e5-4660-v3
128,Intel Core i7 12800H,12140,14,20,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12800h
129,Intel Core i7 12700H,12105,14,20,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700h
130,AMD Ryzen Threadripper 2950X,12093,16,32,3.5GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2950x
131,Intel Core i5 13400F,12086,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400f
132,AMD Ryzen 9 3900X,11991,12,24,3.8GHz,2019.07,https://www.topcpu.net/cpu/amd-ryzen-9-3900x
133,Intel Core i5 13600H,11946,12,16,2.8GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600h
134,AMD Ryzen 5 7600X,11925,6,12,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x
135,AMD Ryzen Threadripper 2970WX,11876,24,48,3.0GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2970wx
136,AMD Ryzen Threadripper 1950X,11859,16,32,3.4GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1950x
137,Intel Core i9 7920X,11828,12,24,2.9GHz,2017.08,https://www.topcpu.net/cpu/intel-core-i9-7920x
138,Intel Core i5 12600KF,11626,10,16,3.7GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i5-12600kf
139,AMD Ryzen 7 5800X3D,11614,8,16,3.4GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-7-5800x3d
140,Intel Core i5 12600K,11565,10,16,3.7GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i5-12600k
141,AMD Ryzen 7 7840H,11494,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7840h
142,Intel Core i7 13620H,11265,10,16,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13620h
143,AMD Ryzen 7 7840HS,11238,8,16,3.8GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-7-7840hs
144,Intel Core i7 12650H,11166,10,16,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12650h
145,AMD Ryzen 5 7645HX,11141,6,12,4.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7645hx
146,Intel Core i7 1370P,11133,14,20,1.9GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-1370p
147,Intel Core i9 10900KF,11050,10,20,3.7GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900kf
148,Intel Core i9 11900K,11033,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900k
149,Intel Core i5 13500H,10973,12,16,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500h
150,AMD Ryzen 5 7600,10928,6,12,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-5-7600
151,Intel Core i5 13420H,10854,8,12,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13420h
152,AMD Ryzen Threadripper 2920X,10796,12,24,3.5GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2920x
153,Intel Core i9 10900X,10786,10,20,3.7GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10900x
154,Intel Core i9 10900K,10773,10,20,3.7GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i9-10900k
155,AMD EPYC 9274F,10722,24,48,4.05GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9274f
