排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
462,AMD Ryzen 7 5800X,2230,8,16,3.8GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-7-5800x
463,Intel Core i9-11950H,2230,8,16,2.1GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11950h
464,Intel Core 3 100U,2228,6,8,1.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-3-100u
465,AMD Ryzen 5 7545U,2227,6,12,3.2GHz,2023.11,https://www.topcpu.net/cpu/amd-ryzen-5-7545u
466,Intel Core i7 12650H,2226,10,16,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12650h
467,Intel Core i9 11980HK,2226,8,16,2.6-3.3GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11980hk
468,Intel Core 3 201E,2226,4,8,3.6GHz,2025.01,https://www.topcpu.net/cpu/intel-core-3-201e
469,Intel Xeon Gold 6542Y,2224,24,48,2.9GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-gold-6542y
470,Intel Xeon Gold 6544Y,2223,16,32,3.6GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-gold-6544y
471,Intel Core i5 13420H,2221,8,12,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13420h
472,AMD Ryzen 9 5950X,2218,16,32,3.4GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5950x
473,Intel Xeon W-1350P,2218,6,12,4GHz,2021.05,https://www.topcpu.net/cpu/xeon-w-1350p
474,Intel Core i7 1270P,2217,12,16,2.2GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1270p
475,Intel Core i7 12850HX,2217,16,24,2.1GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12850hx
476,Intel Core i3 12100,2214,4,8,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100
477,Intel Core i5 12500H,2214,12,16,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12500h
478,Intel Core i5 1240U,2213,10,12,1.1GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i5-1240u
479,AMD Ryzen Z2,2212,8,16,3.3GHz,2025.06,https://www.topcpu.net/cpu/amd-ryzen-z2
480,Intel Core Ultra 5 322,2212,6,6,2.5GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-322
481,Intel Xeon E-2414,2211,4,4,2.6GHz,2023.12,https://www.topcpu.net/cpu/xeon-e-2414
482,AMD Ryzen 7 5800XT,2205,8,16,3.8GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-7-5800xt
483,Intel Core i3 12100E,2205,4,8,3.2GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100e
484,Intel Xeon Gold 6458Q,2205,32,64,3.1GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-6458q
485,Intel Core i7-11700B,2205,8,16,3.2GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i7-11700b
486,Intel Core i5 13400T,2202,10,16,1.3GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400t
487,Intel Xeon W-11955M,2199,8,16,2.1GHz,2021.05,https://www.topcpu.net/cpu/xeon-w-11955m
488,Intel Core i9 11900T,2198,8,16,1.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900t
489,Intel Xeon Platinum 8558P,2197,48,96,2.7GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-platinum-8558p
490,Intel Core i5-14501E,2196,6,12,3.3GHz,2024.07,https://www.topcpu.net/cpu/intel-core-i5-14501e
491,AMD Ryzen 9 PRO 5945,2192,12,24,3GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-9-pro-5945
492,Intel Core i9 11900F,2188,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900f
493,Intel Core 5 210H,2182,8,12,2.2GHz,2024.12,https://www.topcpu.net/cpu/intel-core-5-210h
494,Apple M1 Pro,2180,10,10,2.0GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-pro
495,Intel Xeon w7-3565X,2180,32,64,2.5GHz,2024.08,https://www.topcpu.net/cpu/xeon-w7-3565x
496,AMD Ryzen 7 5700X,2178,8,16,3.4GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700x
497,AMD Ryzen 5 5600XT,2175,6,12,3.7GHz,2024.10,https://www.topcpu.net/cpu/amd-ryzen-5-5600xt
498,AMD Ryzen 5 5600X,2173,6,12,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-5-5600x
499,Intel Core Ultra 7 164U,2172,12,14,1.1GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-164u
500,AMD EPYC 9384X,2169,32,64,3.1GHz,2023.06,https://www.topcpu.net/cpu/amd-epyc-9384x
501,Intel Core i3 12100F,2168,4,8,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100f
502,Intel Core i7 1280P,2168,14,20,1.8GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1280p
503,Intel Xeon w5-2565X,2165,18,36,3.2GHz,2024.08,https://www.topcpu.net/cpu/xeon-w5-2565x
504,Intel Xeon W-1350,2163,6,12,3.3GHz,2021.05,https://www.topcpu.net/cpu/xeon-w-1350
505,Intel Xeon Gold 6534,2159,8,16,3.9GHz,2023.12,https://www.topcpu.net/cpu/intel-xeon-gold-6534
