排名,名称,跑分,规格,上市时间,详情页
245,HiSilicon Kirin 658,206,8C @ 2350MHz  - 2017.03,2017.03,https://www.topcpu.net/cpu/hisilicon-kirin-658
246,MediaTek Helio G37,206,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g37
247,Qualcomm Snapdragon 430,206,8C @ 1400MHz  - 2015.09,2015.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-430
248,Qualcomm Snapdragon 439,200,8C @ 2000MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-439
249,MediaTek Helio G50,200,8C @ 2200MHz  - 2025.02,2025.02,https://www.topcpu.net/cpu/mediatek-helio-g50
250,Samsung Exynos 7420,195,8C @ 2100MHz  - 2015.04,2015.04,https://www.topcpu.net/cpu/samsung-exynos-7420
251,HiSilicon Kirin 655,189,8C @ 2120MHz  - 2016.12,2016.12,https://www.topcpu.net/cpu/hisilicon-kirin-655
252,MediaTek Helio G35,189,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g35
253,MediaTek Helio P23,189,8C @ 2300MHz  - 2017.08,2017.08,https://www.topcpu.net/cpu/mediatek-helio-p23
254,Qualcomm Snapdragon 625,189,8C @ 2000MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-625
255,MediaTek Helio G25,186,8C @ 2000MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g25
256,MediaTek Helio P20,186,8C @ 2300MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/mediatek-helio-p20
257,Qualcomm Snapdragon 630,182,8C @ 2200MHz  - 2017.05,2017.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-630
258,Samsung Exynos 7870,172,8C @ 1600MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/samsung-exynos-7870
259,Samsung Exynos 7880,172,8C @ 1900MHz  - 2017.01,2017.01,https://www.topcpu.net/cpu/samsung-exynos-7880
260,Qualcomm Snapdragon 450,169,8C @ 1800MHz  - 2017.06,2017.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-450
261,Unisoc SC9863A,165,8C @ 1600MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/unisoc-sc9863a
262,MediaTek Helio A25,152,8C @ 1800MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/mediatek-helio-a25
263,MediaTek MT6737,141,4C @ 1300MHz  - 2016.01,2016.01,https://www.topcpu.net/cpu/mediatek-mt6737
264,Qualcomm Snapdragon 435,141,8C @ 1400MHz  - 2016.02,2016.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-435
265,MediaTek MT6750,138,8C @ 1500MHz  - 2016.08,2016.08,https://www.topcpu.net/cpu/mediatek-mt6750
