排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
71,Intel Core Ultra 9 288V,128,8,8,3.3GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-9-288v
72,Intel Core i7 13700K,127,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
73,Intel Core Ultra 5 235,127,14,14,3.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-235
74,Apple M2 Ultra,126,24,24,3.5GHz,2023.05,https://www.topcpu.net/cpu/apple-m2-ultra
75,Intel Core i7 13700KF,126,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
76,Intel Core Ultra 9 285HX,126,24,24,2.8GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-285hx
77,Intel Core Ultra 9 290HX Plus,126,24,24,2.7GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-9-290hx-plus
78,Intel Core i9 12900K,125,16,24,"3,2GHz",2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900k
79,Intel Core Ultra 7 265H,125,16,16,2.2GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-265h
80,Intel Core Ultra 5 225,125,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225
81,Intel Core i5 14600KF,124,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600kf
82,Intel Core i9 12900KF,124,16,24,3.2GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900kf
83,Intel Core Ultra 7 268V,124,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-268v
84,Intel Core Ultra X7 358H,124,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-358h
85,Apple A18 Pro (MacBook),124,6,6,2GHz,2024.09,https://www.topcpu.net/cpu/apple-a18-pro-macbook
86,AMD Ryzen Threadripper 7970X,123,32,64,4GHz,2023.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-7970x
87,Qualcomm Snapdragon X Elite (X1E-80-100),123,12,12,3.4GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-80-100
88,Intel Core Ultra 5 235H,123,14,14,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235h
89,Intel Core Ultra 5 338H,123,12,12,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-338h
90,Intel Core Ultra X7 368H,123,16,16,20GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-368h
91,Intel Core i5 14600K,122,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
92,Apple M2 Pro,122,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-pro
