排名,名称,跑分,规格,上市时间,详情页
175,Qualcomm Snapdragon 480,1817,8C @ 2000MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-480
176,Qualcomm Snapdragon 720G,1783,8C @ 2300MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-720g
177,MediaTek Dimensity 700,1783,8C @ 2200MHz  - 2020.11,2020.11,https://www.topcpu.net/cpu/mediatek-dimensity-700
178,MediaTek Helio G95,1745,8C @ 2050MHz  - 2020.09,2020.09,https://www.topcpu.net/cpu/mediatek-helio-g95
179,Qualcomm Snapdragon 675,1700,8C @ 2000MHz  - 2018.10,2018.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-675
180,Qualcomm Snapdragon 730,1645,8C @ 2200MHz  - 2019.04,2019.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-730
181,MediaTek Helio G90,1619,8C @ 2050MHz  - 2019.07,2019.07,https://www.topcpu.net/cpu/mediatek-helio-g90
182,Qualcomm Snapdragon 678,1568,8C @ 2200MHz  - 2020.12,2020.12,https://www.topcpu.net/cpu/qualcomm-snapdragon-678
183,MediaTek Helio P95,1555,8C @ 2200MHz  - 2020.02,2020.02,https://www.topcpu.net/cpu/mediatek-helio-p95
184,Unisoc Tiger T620,1541,8C @ 2200MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/unisoc-tiger-t620
185,Unisoc Tiger T612,1522,8C @ 1800MHz  - 2022.05,2022.05,https://www.topcpu.net/cpu/unisoc-tiger-t612
186,Qualcomm Snapdragon 835,1519,8C @ 2450MHz  - 2016.11,2016.11,https://www.topcpu.net/cpu/qualcomm-snapdragon-835
187,Qualcomm Snapdragon 685,1517,8C @ 2800MHz  - 2023.03,2023.03,https://www.topcpu.net/cpu/qualcomm-snapdragon-685
188,Unisoc Tiger T616,1509,8C @ 2000MHz  - 2021.01,2021.01,https://www.topcpu.net/cpu/unisoc-tiger-t616
189,Unisoc Tiger T618,1465,8C @ 2000MHz  - 2019.08,2019.08,https://www.topcpu.net/cpu/unisoc-tiger-t618
190,Unisoc Tiger T615,1454,8C @ 1800MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/unisoc-tiger-t615
191,Qualcomm Snapdragon 680,1447,8C @ 2400MHz  - 2021.10,2021.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-680
192,Unisoc Tiger T700,1442,8C @ 1820MHz  - 2021.03,2021.03,https://www.topcpu.net/cpu/unisoc-tiger-t700
193,Qualcomm Snapdragon 712,1441,8C @ 2300MHz  - 2019.02,2019.02,https://www.topcpu.net/cpu/qualcomm-snapdragon-712
194,Samsung Exynos 8895,1436,8C @ 2314MHz  - 2017.02,2017.02,https://www.topcpu.net/cpu/samsung-exynos-8895
195,MediaTek Helio G92 Max,1407,8C @ 2000MHz  - 2024.11,2024.11,https://www.topcpu.net/cpu/mediatek-helio-g92-max
196,Unisoc T606,1397,8C @ 1600MHz  - 2021.09,2021.09,https://www.topcpu.net/cpu/unisoc-t606
197,MediaTek Helio G81,1391,8C @ 2000MHz  - 2024.08,2024.08,https://www.topcpu.net/cpu/mediatek-helio-g81
198,MediaTek Helio G91,1389,8C @ 2000MHz  - 2024.06,2024.06,https://www.topcpu.net/cpu/mediatek-helio-g91
199,HiSilicon Kirin 960,1385,8C @ 2360MHz  - 2016.10,2016.10,https://www.topcpu.net/cpu/hisilicon-kirin-960
200,MediaTek Helio P90,1377,8C @ 2200MHz  - 2018.11,2018.11,https://www.topcpu.net/cpu/mediatek-helio-p90
201,HiSilicon Kirin 970,1377,8C @ 2360MHz  - 2017.09,2017.09,https://www.topcpu.net/cpu/hisilicon-kirin-970
202,MediaTek Helio G88,1357,8C @ 2000MHz  - 2021.06,2021.06,https://www.topcpu.net/cpu/mediatek-helio-g88
203,Qualcomm Snapdragon 710,1356,8C @ 2200MHz  - 2018.05,2018.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-710
204,MediaTek Helio G80,1354,8C @ 2000MHz  - 2020.02,2020.02,https://www.topcpu.net/cpu/mediatek-helio-g80
205,MediaTek Helio G70,1347,8C @ 2000MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/mediatek-helio-g70
206,MediaTek Helio G85,1338,8C @ 2000MHz  - 2020.04,2020.04,https://www.topcpu.net/cpu/mediatek-helio-g85
207,Apple A10 Fusion,1332,4C @ 2340MHz  - 2016.09,2016.09,https://www.topcpu.net/cpu/apple-a10-fusion
208,Unisoc Tiger T610,1311,8C @ 1820MHz  - 2019.06,2019.06,https://www.topcpu.net/cpu/unisoc-tiger-t610
209,HiSilicon Kirin 710F,1255,8C @ 2200MHz  - 2019.01,2019.01,https://www.topcpu.net/cpu/hisilicon-kirin-710f
210,Qualcomm Snapdragon 670,1250,8C @ 2000MHz  - 2018.08,2018.08,https://www.topcpu.net/cpu/qualcomm-snapdragon-670
211,Qualcomm Snapdragon 660,1242,8C @ 2200MHz  - 2017.05,2017.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-660
212,Qualcomm Snapdragon 662,1209,8C @ 2000MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-662
213,HiSilicon Kirin 710,1197,8C @ 2200MHz  - 2018.07,2018.07,https://www.topcpu.net/cpu/hisilicon-kirin-710
214,Samsung Exynos 9609,1197,8C @ 2200MHz  - 2019.05,2019.05,https://www.topcpu.net/cpu/samsung-exynos-9609
215,MediaTek Helio P65,1191,8C @ 2000MHz  - 2019.06,2019.06,https://www.topcpu.net/cpu/mediatek-helio-p65
216,Qualcomm Snapdragon 665,1167,8C @ 2000MHz  - 2019.04,2019.04,https://www.topcpu.net/cpu/qualcomm-snapdragon-665
217,Mediatek Helio P60,1156,8C @ 2000MHz  - 2018.02,2018.02,https://www.topcpu.net/cpu/mediatek-helio-p60
218,MediaTek Helio A22,1149,4C @ 2000MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/mediatek-helio-a22
219,HiSilicon Kirin 710A,1135,8C @ 2000MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/hisilicon-kirin-710a
220,MediaTek Helio X30,1115,10C @ 2600MHz  - 2017.02,2017.02,https://www.topcpu.net/cpu/mediatek-helio-x30
221,Samsung Exynos 9611,1112,8C @ 2300MHz  - 2019.09,2019.09,https://www.topcpu.net/cpu/samsung-exynos-9611
222,Qualcomm Snapdragon 636,1088,8C @ 1800MHz  - 2017.10,2017.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-636
223,MediaTek Helio P70,1068,8C @ 2100MHz  - 2018.10,2018.10,https://www.topcpu.net/cpu/mediatek-helio-p70
224,Samsung Exynos 9610,1051,8C @ 2300MHz  - 2018.03,2018.03,https://www.topcpu.net/cpu/samsung-exynos-9610
225,Qualcomm Snapdragon 632,1047,8C @ 1800MHz  - 2018.06,2018.06,https://www.topcpu.net/cpu/qualcomm-snapdragon-632
226,HiSilicon Kirin 955,1040,8C @ 2500MHz  - 2016.04,2016.04,https://www.topcpu.net/cpu/hisilicon-kirin-955
227,HiSilicon Kirin 950,1016,8C @ 2400MHz  - 2015.11,2015.11,https://www.topcpu.net/cpu/hisilicon-kirin-950
228,Qualcomm Snapdragon 460,999,8C @ 1800MHz  - 2020.01,2020.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-460
229,Qualcomm Snapdragon 630,962,8C @ 2200MHz  - 2017.05,2017.05,https://www.topcpu.net/cpu/qualcomm-snapdragon-630
230,Apple A9,957,2C @ 1850MHz  - 2015.09,2015.09,https://www.topcpu.net/cpu/apple-a9
231,Samsung Exynos 7904,939,8C @ 1800MHz  - 2019.02,2019.02,https://www.topcpu.net/cpu/samsung-exynos-7904
232,Qualcomm Snapdragon 626,916,8C @ 2200MHz  - 2016.10,2016.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-626
233,MediaTek Helio G37,915,8C @ 2300MHz  - 2020.06,2020.06,https://www.topcpu.net/cpu/mediatek-helio-g37
