排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
78,AMD Ryzen 9 7900X3D,4119,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
79,AMD Ryzen AI Max+ Pro 395,4119,16,32,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-395
80,Apple M2 Pro,4116,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-pro
81,Intel Core Ultra X7 358H,4107,16,16,1.9GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-x7-358h
82,Intel Core Ultra 5 235H,4100,14,14,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-235h
83,Intel Core i5 13600,4095,14,20,2.7GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600
84,AMD Ryzen 9 7945HX,4076,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
85,AMD Ryzen Z2 Extreme,4074,8,16,2.0GHz,2025.06,https://www.topcpu.net/cpu/amd-ryzen-z2-extreme
86,Intel Core 5 320,4073,6,6,1.5GHz,2026.04,https://www.topcpu.net/cpu/intel-core-5-320
87,AMD Ryzen 9 7945HX3D,4062,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
88,Intel Core i5 14500,4060,14,20,2.6GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14500
89,Intel Core i9 13950HX,4060,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13950hx
90,Intel Core i7 12700K,4040,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700k
91,AMD Ryzen 9 8945HX,4035,16,32,2.5GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8945hx
92,Intel Core Ultra 7 258V,4033,8,8,2.2GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-7-258v
93,Intel Core Ultra 5 332,4022,6,6,2.5GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-5-332
94,Intel Core i7 12700KF,4020,12,20,3.6GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i7-12700kf
95,Intel Core 7 150U,4010,10,12,1.8GHz,2024.01,https://www.topcpu.net/cpu/intel-core-7-150u
96,AMD Ryzen AI 9 HX 370,3974,12,24,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-370
97,Intel Core i9 13900HK,3968,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
98,Qualcomm Snapdragon X Elite (X1E-84-100),3963,12,12,3.8GHz,2023.10,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-elite-x1e-84-100
99,Intel Core i5 12600K,3956,10,16,3.7GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i5-12600k
100,AMD Ryzen AI 9 HX 375,3954,12,24,2.0GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-375
101,AMD Ryzen 7 7840H,3947,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7840h
102,Intel Core i5 13500,3945,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
103,Intel Core i5 12600KF,3934,10,16,3.7GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i5-12600kf
104,AMD Ryzen AI 7 Pro 360,3933,8,16,2.0GHz,2024.10,https://www.topcpu.net/cpu/amd-ryzen-ai-7-pro-360
105,Apple M2,3932,8,8,3.5GHz,2022.06,https://www.topcpu.net/cpu/apple-m2
106,Intel Core i7 12700,3921,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700
107,AMD Ryzen AI 7 350,3918,8,16,2.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-7-350
108,AMD Ryzen 9 7940HS,3910,8,16,4.0GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-9-7940hs
109,AMD Ryzen 7 8700F,3904,8,16,4.1GHz,2024.05,https://www.topcpu.net/cpu/amd-ryzen-7-8700f
110,AMD Ryzen 5 8500G,3889,6,12,3.5GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8500g
111,Intel Core i7 12700F,3882,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700f
112,Intel Core i7 13800H,3878,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13800h
113,Intel Core i9 12900HX,3874,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12900hx
114,Intel Core i9 13900H,3866,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900h
115,AMD Ryzen 9 8945HS,3864,8,16,4.0GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-9-8945hs
116,AMD Ryzen 5 8600G,3864,6,12,4.3GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-8600g
117,Intel Core 5 210H,3862,8,12,2.2GHz,2024.12,https://www.topcpu.net/cpu/intel-core-5-210h
118,Intel Core i7 12800HX,3859,16,24,2.0GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12800hx
119,Intel Core 7 240H,3858,10,16,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-7-240h
120,Intel Core i7 13650HX,3847,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13650hx
121,AMD Ryzen 3 8300G,3840,4,8,3.4GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-3-8300g
122,AMD Ryzen 5 7500F,3840,6,12,3.7GHz,2023.07,https://www.topcpu.net/cpu/amd-ryzen-5-7500f
123,Intel Core i5 14400,3838,10,16,2.5GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14400
124,Intel Core Ultra 5 228V,3833,8,8,2.1GHz,2024.09,https://www.topcpu.net/cpu/intel-core-ultra-5-228v
125,Apple M1 Max,3832,10,10,3.2GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-max
126,Intel Core i9 12950HX,3832,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12950hx
127,Apple M1 Ultra,3831,20,20,3.2GHz,2022.03,https://www.topcpu.net/cpu/apple-m1-ultra
128,Intel Core i5 14450HX,3822,10,16,2.4GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14450hx
129,Intel Core i5 1345U,3821,10,12,1.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1345u
130,Intel Core i5 12600,3814,6,12,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12600
131,Intel Core i9 12900H,3811,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900h
132,AMD Ryzen 7 8745HS,3806,8,16,3.8GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-7-8745hs
133,Intel Core i7 14650HX,3803,16,24,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14650hx
134,AMD Ryzen 5 8645HS,3795,6,12,4.3GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-5-8645hs
135,Apple M1 Pro,3792,10,10,2.0GHz,2021.10,https://www.topcpu.net/cpu/apple-m1-pro
136,AMD Ryzen 7 7840HS,3785,8,16,3.8GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-7-7840hs
137,Intel Core i5 14400F,3785,10,16,2.5GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14400f
138,AMD Ryzen AI 9 365,3771,10,20,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-365
139,Intel Core i5 13400,3766,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400
140,AMD Ryzen 5 8540U,3759,6,12,3.2GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-5-8540u
141,Intel Core i5 13400F,3738,10,16,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13400f
142,Intel Core i7 12650H,3731,10,16,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12650h
143,Intel Core 5 120U,3730,10,12,1.4GHz,2024.01,https://www.topcpu.net/cpu/intel-core-5-120u
144,Intel Core i5 12600HX,3727,12,16,2.5GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i5-12600hx
145,Intel Core i3 13100F,3719,4,8,3.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-13100f
146,Apple M1,3717,8,8,2.1GHz,2020.11,https://www.topcpu.net/cpu/apple-m1
147,AMD Ryzen 7 H 255,3716,8,16,3.8GHz,2025.08,https://www.topcpu.net/cpu/amd-ryzen-7-h-255
148,Intel Core i5 13600H,3715,12,16,2.8GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600h
149,Intel Core Ultra 9 185H,3707,16,22,2.3GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-9-185h
150,Intel Core i7 13620H,3705,10,16,2.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13620h
151,Intel Core i7 12850HX,3686,16,24,2.1GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12850hx
152,Intel Core i5 12500,3680,6,12,3.0GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12500
153,Intel Core i9 12900HK,3676,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900hk
154,Intel Core i9 13905H,3655,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13905h
155,AMD Ryzen 3 8440U,3647,4,8,3.0GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-3-8440u
156,AMD Ryzen 5 7400F,3644,6,12,3.7GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-5-7400f
157,Intel Core i7 12700H,3641,14,20,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700h
158,Intel Core i3 13100,3627,4,8,3.4GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-13100
159,AMD Ryzen Z1 Extreme,3617,8,16,3.3GHz,2024.04,https://www.topcpu.net/cpu/amd-ryzen-z1-extreme
160,AMD Ryzen 5 7640HS,3616,6,12,4.3GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-5-7640hs
161,Intel Core Ultra 7 165U,3609,12,14,1.7GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-165u
162,AMD Ryzen 5 7600X3D,3608,6,12,4.1GHz,2024.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x3d
163,Intel Core i7 14700HX,3605,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700hx
164,Intel Core i7 1355U,3594,10,12,1.7GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-1355u
165,AMD Ryzen 7 7840U,3593,8,16,3.3GHz,2023.05,https://www.topcpu.net/cpu/amd-ryzen-7-7840u
166,Intel Core i5 13500HX,3583,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500hx
167,Intel Core i3 1210U,3582,6,8,1.0GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i3-1210u
168,Intel Core i7 1360P,3575,12,16,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-1360p
169,Intel Core i5 13500H,3573,12,16,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500h
170,Intel Core i5 12600H,3573,12,16,2.7GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12600h
171,Intel Core i5 1350P,3571,12,16,1.9GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1350p
172,Intel Core i9 11900KF,3557,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900kf
173,Intel Core i7 1365U,3556,10,12,1.8GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-1365u
174,Intel Core i7 1370P,3556,14,20,1.9GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-1370p
175,AMD Ryzen 5 8400F,3553,6,12,4.2GHz,2024.05,https://www.topcpu.net/cpu/amd-ryzen-5-8400f
176,AMD Ryzen 7 7445HS,3546,6,12,3.2GHz,2023.03,https://www.topcpu.net/cpu/amd-ryzen-7-7445hs
177,Intel Core Ultra 7 165H,3545,16,22,1.4GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-165h
178,Intel Core i5 12400,3528,6,12,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12400
179,Intel Core Ultra 5 135H,3525,14,18,1.7GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-135h
180,Intel Core i9 11900K,3520,8,16,3.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900k
181,AMD Ryzen 5 7540U,3519,6,12,3.2GHz,2023.05,https://www.topcpu.net/cpu/amd-ryzen-5-7540u
182,Intel Core i5 1335U,3516,10,12,1.3GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1335u
183,Intel Core i5 12400F,3513,6,12,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12400f
184,AMD Ryzen 5 7640U,3506,6,12,3.5GHz,2023.05,https://www.topcpu.net/cpu/amd-ryzen-5-7640u
185,Intel Core i5 1250P,3504,12,16,1.7GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i5-1250p
186,Intel Core i7 12800H,3504,14,20,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12800h
187,Intel Core i5 12500H,3500,12,16,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12500h
188,Intel Core Ultra 7 155H,3490,16,22,1.4GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-155h
189,Intel Core i7 13850HX,3486,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
190,AMD Ryzen 9 5950X,3477,16,32,3.4GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5950x
191,Intel Core i3 12100F,3477,4,8,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100f
192,AMD Ryzen 9 5900X,3470,12,24,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5900x
193,Intel Core i3 1220P,3458,10,12,1.5GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i3-1220p
194,Intel Core i5 13420H,3448,8,12,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13420h
195,AMD Ryzen 9 5900,3447,12,24,3.0GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5900
196,AMD Ryzen 7 5800X,3443,8,16,3.8GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-7-5800x
197,Intel Core i5 12450H,3434,8,12,2GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12450h
198,Intel Core i3 12100,3433,4,8,3.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i3-12100
199,Intel Core i9 11900,3430,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900
200,Intel Core Ultra 5 125H,3429,14,18,1.2GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-125h
201,Intel Core i9 11900F,3423,8,16,2.5GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i9-11900f
202,AMD Ryzen 9 6900HX,3421,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hx
203,Intel Core Ultra 7 155U,3413,12,14,1.7GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-155u
204,Intel Core i7 11700K,3412,8,16,3.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700k
205,Intel Core i3 1215U,3408,6,8,1.2GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i3-1215u
206,Intel Core i3 1315U,3404,6,8,1.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-1315u
207,Intel Core i7 1270P,3402,12,16,2.2GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1270p
208,Intel Core i5 12450HX,3399,8,12,2.4GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i5-12450hx
209,Intel Core i7 11700KF,3390,8,16,3.6GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i7-11700kf
210,AMD Ryzen 7 5800,3388,8,16,3.4GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-7-5800
211,AMD Ryzen 9 5980HX,3370,8,16,3.3GHz,2021.01,https://www.topcpu.net/cpu/amd-ryzen-9-5980hx
212,AMD Ryzen 7 5700X,3363,8,16,3.4GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700x
213,AMD Ryzen 5 5600X,3361,6,12,3.7GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-5-5600x
214,Intel Core i5 11600KF,3358,6,12,3.9GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11600kf
215,Intel Core i5 11600K,3353,6,12,3.9GHz,2021.03,https://www.topcpu.net/cpu/intel-core-i5-11600k
216,AMD Ryzen 7 7735HS,3349,8,16,3.2GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7735hs
217,Intel Core Ultra 5 135U,3344,12,14,1.6GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-135u
218,Intel Core i7 1265U,3341,10,12,1.8GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1265u
219,Intel Core i5 1334U,3336,10,12,1.3GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-1334u
220,Intel Core Ultra 5 125U,3332,12,14,1.3GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-5-125u
221,Intel Core i7 1260P,3325,12,16,2.1GHz,2022.02,https://www.topcpu.net/cpu/intel-core-i7-1260p
222,AMD Ryzen 9 6900HS,3323,8,16,3.3GHz,2022.01,https://www.topcpu.net/cpu/amd-ryzen-9-6900hs
