排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
61,AMD Ryzen 9 7945HX,1669,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
62,AMD Ryzen 9 7900X,1643,12,24,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-9-7900x
63,AMD Ryzen 9 8940HX,1630,16,32,2.4GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8940hx
64,Apple M1 Ultra,1624,20,20,3.2GHz,2022.03,https://www.topcpu.net/cpu/apple-m1-ultra
65,Apple M5 Pro (15-Core),1623,15,15,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-15-core
66,Intel Core i9 13900F,1622,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900f
67,Intel Core i9 13900,1622,24,32,2.0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900
68,Intel Core i7 13700K,1605,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
69,Intel Core i7 13700KF,1602,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
70,AMD Ryzen 9 7900X3D,1596,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
71,Intel Core Ultra 7 255HX,1590,20,20,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255hx
72,Intel Core i9 12900K,1574,16,24,"3,2GHz",2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900k
73,Intel Core i9 12900KF,1564,16,24,3.2GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900kf
74,Intel Core Ultra 5 245K,1526,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
75,AMD Ryzen 9 7900,1525,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
76,Intel Core Ultra 7 265,1519,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265
77,Intel Core i9 13950HX,1503,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13950hx
78,Intel Core Ultra 7 265F,1503,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265f
79,Qualcomm Snapdragon X2 Elite (X2E 90 100),1497,18,18,3.4GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-90-100
80,Intel Core i9 13980HX,1495,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13980hx
81,AMD Ryzen 9 5950X,1494,16,32,3.4GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5950x
82,AMD Ryzen 9 5900XT,1483,16,32,3.3GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-9-5900xt
83,AMD Ryzen 9 9850HX,1478,12,24,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9850hx
84,AMD Ryzen AI Max Pro 380,1469,6,12,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-380
85,Qualcomm Snapdragon X2 Elite X2E-88-100,1432,18,18,3.0GHz,2025.09,https://www.topcpu.net/cpu/qualcomm-snapdragon-x2-elite-x2e-88-100
86,Intel Xeon w5-2455X,1428,12,24,3.2GHz,2023.02,https://www.topcpu.net/cpu/intel-xeon-w5-2455x
87,Apple M4 Pro 12 Core,1418,12,12,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-pro-12-core
88,Intel Core i7 14700HX,1411,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700hx
89,Intel Core i7 13700F,1398,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700f
90,Intel Core i7 13700,1398,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700
91,AMD Ryzen 7 9850X3D,1398,8,16,4.7GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-7-9850x3d
92,Intel Core i5 14600KF,1388,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600kf
93,Intel Core i5 14600K,1373,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
94,Intel Core i7 13700HX,1371,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700hx
95,AMD Ryzen 9 3950X,1370,16,32,3.5GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-9-3950x
96,Intel Core Ultra 5 245HX,1349,14,14,3.1GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-5-245hx
