排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
83,Intel Core i9 12900KF,27422,16,24,3.2GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900kf
84,Apple M4 Max 16 Core,27392,16,16,4.52GHz,2024.10,https://www.topcpu.net/cpu/apple-m4-max-16-core
85,AMD Ryzen Threadripper Pro 3955WX,27175,16,32,3.9GHz,2020.07,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-3955wx
86,Intel Core i9 9980XE,27093,18,36,3.0GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9980xe
87,AMD Ryzen 9 7900X3D,27084,12,24,4.4GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900x3d
88,AMD Ryzen 9 9850HX,26711,12,24,3.0GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-9-9850hx
89,AMD Ryzen 9 7845HX,26641,12,24,3.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7845hx
90,Intel Core i9 12900F,26455,16,24,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900f
91,Intel Core i9 12900,26454,16,24,2.4GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900
92,AMD Ryzen Threadripper 2970WX,26292,24,48,3.0GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2970wx
93,Intel Core i7 13790F,26247,16,24,2.1GHz,2023.02,https://www.topcpu.net/cpu/intel-core-i7-13790f
94,Intel Core i7 13850HX,25815,20,28,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13850hx
95,AMD Ryzen AI Max Pro 380,25815,6,12,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-pro-380
96,Intel Core Ultra 7 255HX,25611,20,20,2.4GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-255hx
97,Intel Core i7 13700F,25403,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700f
98,Intel Core Ultra 5 245KF,25194,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245kf
99,Intel Core Ultra 5 245K,25099,14,14,4.2GHz,2024.10,https://www.topcpu.net/cpu/intel-core-ultra-5-245k
100,Intel Core i7 13700,24993,16,24,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13700
101,Intel Core i9 10980XE,24899,18,36,3.0GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10980xe
102,Apple M5 Pro (18-Core),24400,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-pro-18-core
103,AMD Ryzen 9 3950X,24396,16,32,3.5GHz,2019.11,https://www.topcpu.net/cpu/amd-ryzen-9-3950x
104,Apple M3 Max,24002,16,16,4.05GHz,2023.10,https://www.topcpu.net/cpu/apple-m3-max
105,Intel Core i5 14600K,23983,14,20,3.5GHz,2023.10,https://www.topcpu.net/cpu/intel-core-i5-14600k
