排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
585,Intel Core i7 6950X,1069,10,20,3.0GHz,2016.05,https://www.topcpu.net/cpu/intel-core-i7-6950x
586,Intel Core i5 8300H,1068,4,8,2.3GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i5-8300h
587,Intel Core i9 9920X,1067,12,24,3.5GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9920x
588,Intel Core i5 10500T,1066,6,12,2.3GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10500t
589,Intel Core i7 6700,1063,4,8,3.4GHz,2015.09,https://www.topcpu.net/cpu/intel-core-i7-6700
590,Intel Core i9 10980XE,1063,18,36,3.0GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10980xe
591,AMD Ryzen 5 3400G,1060,4,8,3.7GHz,2019.07,https://www.topcpu.net/cpu/amd-ryzen-5-3400g
592,Intel Core i5 8400H,1060,4,8,2.5GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i5-8400h
593,Intel Core i3 9100,1057,4,4,3.6GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i3-9100
594,Intel Core i7 5960X,1057,8,16,3.0GHz,2014.08,https://www.topcpu.net/cpu/intel-core-i7-5960x
595,AMD Ryzen Threadripper 1920X,1054,12,24,3.5GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1920x
596,Intel Core i5 8500,1051,6,6,3.0GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i5-8500
597,AMD Ryzen 7 2700,1049,8,16,3.2GHz,2018.04,https://www.topcpu.net/cpu/amd-ryzen-7-2700
598,Intel Core i3 9100F,1049,4,4,3.6GHz,2019.04,https://www.topcpu.net/cpu/intel-core-i3-9100f
599,AMD Ryzen 7 2700E,1046,8,16,2.8GHz,2018.09,https://www.topcpu.net/cpu/amd-ryzen-7-2700e
600,Intel Core i5 1030NG7,1044,4,8,1.1GHz,2020.03,https://www.topcpu.net/cpu/intel-core-i5-1030ng7
601,Intel Core i5 10310U,1042,4,8,0.8-2.2GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10310u
602,Intel Core i5 6600,1042,4,4,3.3GHz,2015.09,https://www.topcpu.net/cpu/intel-core-i5-6600
603,Intel Core i5 6600K,1040,4,4,3.5GHz,2015.08,https://www.topcpu.net/cpu/intel-core-i5-6600k
604,Intel Core 3 N355,1038,8,8,,2025.01,https://www.topcpu.net/cpu/intel-core-3-n355
605,AMD Ryzen Threadripper 1950X,1027,16,32,3.4GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1950x
606,Intel Core i5 8400,1026,6,6,2.8GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i5-8400
607,Intel Core i3 10110U,1025,2,4,2.1GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i3-10110u
608,AMD Ryzen 5 2400G,1021,4,8,3.6GHz,2018.02,https://www.topcpu.net/cpu/amd-ryzen-5-2400g
609,Intel Core i3 1110G4,1018,2,4,1.5-2.5GHz,2020.09,https://www.topcpu.net/cpu/intel-core-i3-1110g4
610,Intel Core i3 N305,1017,8,8,0GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i3-n305
611,AMD Ryzen 5 2600,1016,6,12,3.4GHz,2018.09,https://www.topcpu.net/cpu/amd-ryzen-5-2600
612,Intel Core i5 9400F,1014,6,6,2.9GHz,2019.01,https://www.topcpu.net/cpu/intel-core-i5-9400f
613,AMD Ryzen Threadripper 1900X,1005,8,16,3.8GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1900x
614,AMD Ryzen Threadripper 2990WX,1005,32,64,3.0GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2990wx
615,Intel Core i3 6100,1003,2,4,3.7GHz,2015.09,https://www.topcpu.net/cpu/intel-core-i3-6100
616,AMD EPYC 7742,997,64,128,2.25GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7742
617,Intel Core i5 8257U,996,4,8,1.4GHz,2019.07,https://www.topcpu.net/cpu/intel-core-i5-8257u
618,AMD EPYC 7702P,993,64,128,2GHz,2019.08,https://www.topcpu.net/cpu/amd-epyc-7702p
619,Intel Core i5 10400T,982,6,12,2.0GHz,2020.05,https://www.topcpu.net/cpu/intel-core-i5-10400t
620,Intel Core i7 6850K,979,6,12,3.6GHz,2016.05,https://www.topcpu.net/cpu/intel-core-i7-6850k
621,Intel Core i7 8550U,979,4,8,1.8GHz,2017.08,https://www.topcpu.net/cpu/intel-core-i7-8550u
622,Qualcomm Snapdragon X X1 26 100,975,8,8,2.98GHz,2025.01,https://www.topcpu.net/cpu/qualcomm-snapdragon-x-x1-26-100
623,AMD Ryzen 7 1700X,971,8,16,3.4GHz,2017.03,https://www.topcpu.net/cpu/amd-ryzen-7-1700x
624,Intel Processor N97,971,4,4,0GHz,2023.01,https://www.topcpu.net/cpu/intel-processor-n97
625,Intel Xeon E3-1241 v3,971,4,8,3.5GHz,2014.05,https://www.topcpu.net/cpu/intel-xeon-e3-1241-v3
626,Intel Core i7 8850H,968,6,12,2.6GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i7-8850h
627,Intel Core i5 6500,966,4,4,3.2GHz,2015.09,https://www.topcpu.net/cpu/intel-core-i5-6500
628,AMD Ryzen 7 1800X,963,8,16,3.6GHz,2017.03,https://www.topcpu.net/cpu/amd-ryzen-7-1800x
629,Intel Core i7 7800X,963,6,12,3.5GHz,2017.05,https://www.topcpu.net/cpu/intel-core-i7-7800x
630,Intel Core i7 10510Y,954,4,8,1.2GHz,2019.08,https://www.topcpu.net/cpu/intel-core-i7-10510y
631,Intel Core i7 6800K,951,6,12,3.4GHz,2016.05,https://www.topcpu.net/cpu/intel-core-i7-6800k
632,Intel Core i7 7500U,951,2,4,2.7GHz,2016.08,https://www.topcpu.net/cpu/intel-core-i7-7500u
633,Intel Xeon E3-1231 v3,946,4,8,3.4GHz,2014.05,https://www.topcpu.net/cpu/intel-xeon-e3-1231-v3
634,AMD Ryzen 3 3200G,943,4,4,3.6GHz,2019.09,https://www.topcpu.net/cpu/amd-ryzen-3-3200g
635,AMD Ryzen 7 1700,943,8,16,3GHz,2017.03,https://www.topcpu.net/cpu/amd-ryzen-7-1700
636,AMD Ryzen 3 2200G,942,4,4,3.5GHz,2018.02,https://www.topcpu.net/cpu/amd-ryzen-3-2200g
637,AMD Ryzen 3 1300X,940,4,4,3.5GHz,2017.07,https://www.topcpu.net/cpu/amd-ryzen-3-1300x
638,Intel Processor N150,940,4,4,0.1GHz,2024.11,https://www.topcpu.net/cpu/intel-processor-n150
639,AMD Ryzen 5 3550H,936,4,8,2.1GHz,2019.01,https://www.topcpu.net/cpu/amd-ryzen-5-3550h
640,Intel Core i3 1000NG4,936,2,4,1.1GHz,2020.03,https://www.topcpu.net/cpu/intel-core-i3-1000ng4
641,Intel Core i3 8100,936,4,4,3.6GHz,2017.10,https://www.topcpu.net/cpu/intel-core-i3-8100
642,AMD Ryzen 5 1500X,930,4,8,3.5GHz,2017.04,https://www.topcpu.net/cpu/amd-ryzen-5-1500x
643,AMD Ryzen 5 1600X,930,6,12,3.6GHz,2017.04,https://www.topcpu.net/cpu/amd-ryzen-5-1600x
644,Intel Processor N100,924,4,4,,2023.01,https://www.topcpu.net/cpu/intel-processor-n100
645,Intel Processor N200,924,4,4,,2023.01,https://www.topcpu.net/cpu/intel-processor-n200
646,Intel Processor N250,921,4,4,0.1GHz,2025.01,https://www.topcpu.net/cpu/intel-processor-n250
647,AMD Ryzen 7 3700U,920,4,8,2.3GHz,2019.01,https://www.topcpu.net/cpu/amd-ryzen-7-3700u
648,Intel Core i5 7400,920,4,4,3.0GHz,2017.01,https://www.topcpu.net/cpu/intel-core-i5-7400
649,AMD Ryzen 3 4300U,918,4,4,2.7GHz,2020.01,https://www.topcpu.net/cpu/amd-ryzen-3-4300u
650,Intel Processor N95,914,4,4,,2023.01,https://www.topcpu.net/cpu/intel-processor-n95
651,Intel Core i7 6700HQ,908,4,8,2.6GHz,2015.09,https://www.topcpu.net/cpu/intel-core-i7-6700hq
652,AMD Ryzen 3 3300U,907,4,4,2.1GHz,2019.01,https://www.topcpu.net/cpu/amd-ryzen-3-3300u
653,Intel Core i7 8650U,903,4,8,1.9GHz,2017.08,https://www.topcpu.net/cpu/intel-core-i7-8650u
654,AMD Ryzen 7 3750H,902,4,8,2.3GHz,2019.01,https://www.topcpu.net/cpu/amd-ryzen-7-3750h
655,AMD Ryzen 5 1600,900,6,12,3.2GHz,2017.04,https://www.topcpu.net/cpu/amd-ryzen-5-1600
656,Intel Core i5 8259U,899,4,8,2.3GHz,2018.04,https://www.topcpu.net/cpu/intel-core-i5-8259u
657,Intel Core i3 8130U,898,2,4,2.2GHz,2018.02,https://www.topcpu.net/cpu/intel-core-i3-8130u
658,Intel Core i5 6400,898,4,4,2.7GHz,2015.09,https://www.topcpu.net/cpu/intel-core-i5-6400
659,Intel Core i5 8250U,898,4,8,1.6GHz,2017.08,https://www.topcpu.net/cpu/intel-core-i5-8250u
660,Intel Xeon E3-1265L v3,895,4,8,2.5GHz,2013.06,https://www.topcpu.net/cpu/intel-xeon-e3-1265l-v3
