排名,名称,跑分,显存容量,显存类型,上市时间,详情页
65,NVIDIA GeForce RTX 2070 SUPER Max Q,192,8GB,GDDR6,2020.04,https://www.topcpu.net/cpu/geforce-rtx-2070-super-max-q
66,NVIDIA Tesla T10 Processor,188,4GB,GDDR3,2009.04,https://www.topcpu.net/cpu/tesla-t10-processor
67,NVIDIA GeForce RTX 2070 Max Q Refresh,186,8GB,GDDR6,2020.03,https://www.topcpu.net/cpu/geforce-rtx-2070-max-q-refresh
68,NVIDIA P102 100,184,5GB,GDDR5X,2018.02,https://www.topcpu.net/cpu/p102-100
69,NVIDIA GeForce RTX 3050 OEM,179,8GB,GDDR6,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3050-oem
70,NVIDIA Quadro P6000,178,24GB,GDDR5X,2016.10,https://www.topcpu.net/cpu/quadro-p6000
71,NVIDIA GeForce RTX 2060 12 GB,177,12GB,GDDR6,2021.12,https://www.topcpu.net/cpu/geforce-rtx-2060-12-gb
72,NVIDIA GeForce RTX 3050 4 GB,175,4GB,GDDR6,2022.01,https://www.topcpu.net/cpu/geforce-rtx-3050-4-gb
73,NVIDIA Tesla P40,166,24GB,GDDR5,2016.09,https://www.topcpu.net/cpu/tesla-p40
74,NVIDIA GeForce RTX 3050 Ti Mobile,162,4GB,GDDR6,2021.05,https://www.topcpu.net/cpu/geforce-rtx-3050-ti-mobile
75,NVIDIA Tesla T4,155,16GB,GDDR6,2018.09,https://www.topcpu.net/cpu/tesla-t4
76,NVIDIA GeForce RTX 3050 Mobile,148,4GB,GDDR6,2021.05,https://www.topcpu.net/cpu/geforce-rtx-3050-mobile
77,NVIDIA RTX A1000 Mobile,147,4GB,GDDR6,2022.03,https://www.topcpu.net/cpu/rtx-a1000-mobile
78,NVIDIA GeForce RTX 2060 Max Q,146,6GB,GDDR6,2020.01,https://www.topcpu.net/cpu/geforce-rtx-2060-max-q
79,NVIDIA GeForce GTX 980 Ti,133,6GB,GDDR5,2015.06,https://www.topcpu.net/cpu/geforce-gtx-980-ti
80,NVIDIA GeForce GTX 1080 Ti 10 GB,130,10GB,GDDR5X,,https://www.topcpu.net/cpu/geforce-gtx-1080-ti-10-gb
