排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
97,Intel Core i9 12950HX,32506,16,24,2.3GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i9-12950hx
98,AMD Ryzen 9 3900X,32486,12,24,3.8GHz,2019.07,https://www.topcpu.net/cpu/amd-ryzen-9-3900x
99,Intel Core i5 13500,32278,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500
100,Intel Core i9 9980XE,31938,18,36,3.0GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9980xe
101,Intel Core i7 13650HX,31912,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13650hx
102,Intel Core i5 13600,31879,14,20,2.7GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13600
103,AMD Ryzen Threadripper 2990WX,31873,32,64,3.0GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2990wx
104,Intel Core 7 250H,31852,14,20,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-7-250h
105,Intel Core Ultra 5 225,31742,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225
106,Intel Core Ultra 5 225F,31606,10,10,3.3GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-5-225f
107,AMD Ryzen 5 Pro 9645,31474,6,12,3.9GHz,2026.01,https://www.topcpu.net/cpu/amd-ryzen-5-pro-9645
108,Intel Core i9 13900HK,31334,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hk
109,AMD Ryzen AI 9 HX 375,31152,12,24,2.0GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-ai-9-hx-375
110,AMD Ryzen 7 8700F,31075,8,16,4.1GHz,2024.05,https://www.topcpu.net/cpu/amd-ryzen-7-8700f
111,Intel Core i7 12700,30858,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700
112,Intel Core i9 13905H,30725,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13905h
113,Intel Core i7 12700F,30652,12,20,2.1GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700f
114,AMD Ryzen 9 7940HS,30545,8,16,4.0GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-9-7940hs
115,Intel Core i9 9960X,30525,16,32,3.1GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9960x
116,Intel Core i9 7980XE,30462,18,36,2.6GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7980xe
117,Intel Core i7 13800H,30443,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i7-13800h
118,AMD Ryzen Threadripper 2970WX,29986,24,48,3.0GHz,2018.10,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2970wx
119,Intel Core i7 12850HX,29839,16,24,2.1GHz,2022.05,https://www.topcpu.net/cpu/intel-core-i7-12850hx
120,AMD Ryzen 5 9600X,29828,6,12,3.9GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-5-9600x
121,AMD Ryzen 9 8945HS,29458,8,16,4.0GHz,2023.12,https://www.topcpu.net/cpu/amd-ryzen-9-8945hs
122,Intel Core 9 270H,29452,14,20,2.7GHz,2024.12,https://www.topcpu.net/cpu/intel-core-9-270h
123,Intel Core Ultra 9 185H,29424,16,22,2.3GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-9-185h
124,AMD Ryzen AI 9 365,29308,10,20,2.0GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-ai-9-365
125,Intel Core i9 13900H,29283,14,20,2.6GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900h
126,AMD Ryzen 7 8745HS,29243,8,16,3.8GHz,2024.07,https://www.topcpu.net/cpu/amd-ryzen-7-8745hs
127,AMD Ryzen Threadripper 2950X,29227,16,32,3.5GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2950x
128,AMD Ryzen 7 7840HS,28911,8,16,3.8GHz,2023.04,https://www.topcpu.net/cpu/amd-ryzen-7-7840hs
129,AMD Ryzen 7 H 255,28770,8,16,3.8GHz,2025.08,https://www.topcpu.net/cpu/amd-ryzen-7-h-255
130,AMD Ryzen 5 7600X,28663,6,12,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-5-7600x
131,Intel Core i5 13500HX,28608,14,20,2.5GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i5-13500hx
132,Intel Core i9 9940X,28355,14,28,3.3GHz,2018.10,https://www.topcpu.net/cpu/intel-core-i9-9940x
133,AMD Ryzen 7 5800X3D,28284,8,16,3.4GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-7-5800x3d
134,Intel Core i9 12900H,28264,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900h
135,AMD Ryzen 7 7840H,28248,8,16,3.8GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7840h
136,Intel Core i9 12900HK,27949,14,20,2.5GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i9-12900hk
137,Intel Core i9 10940X,27907,14,28,3.3GHz,2019.10,https://www.topcpu.net/cpu/intel-core-i9-10940x
138,AMD Ryzen 7 5800X,27890,8,16,3.8GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-7-5800x
139,Intel Core i5 12600K,27733,10,16,3.7GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i5-12600k
140,AMD Ryzen Threadripper 1950X,27543,16,32,3.4GHz,2017.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-1950x
141,Intel Core i5 12600KF,27408,10,16,3.7GHz,2021.10,https://www.topcpu.net/cpu/intel-core-i5-12600kf
142,Intel Core i5 14400,27224,10,16,2.5GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i5-14400
143,Intel Core i9 7960X,26917,16,32,2.8GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7960x
144,AMD Ryzen 5 7500F,26862,6,12,3.7GHz,2023.07,https://www.topcpu.net/cpu/amd-ryzen-5-7500f
145,Intel Core i7 12700H,26713,14,20,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700h
146,AMD Ryzen 7 5700X,26541,8,16,3.4GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700x
147,Intel Core Ultra 7 165H,26392,16,22,1.4GHz,2023.12,https://www.topcpu.net/cpu/intel-core-ultra-7-165h
148,AMD Ryzen 7 5700X3D,26329,8,16,3.0GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-7-5700x3d
149,Apple M2 Pro,26265,12,12,3.5GHz,2023.01,https://www.topcpu.net/cpu/apple-m2-pro
